Steenstraat 10,2312 BW Leiden,3,1
Einsteinweg 20,2333 CC Leiden,2,0
Hooigracht 87,2312 KP Leiden,1,1
Kerkstraat 23,2301 AB Leiden,4,0
Winkelsteegseweg 12,2302 CD Leiden,2,1
Kloosterweg 76,2315 EF Leiden,3,1
Oude Singel 33,2314 GH Leiden,2,0
Beestenmarkt 44,2313 XY Leiden,5,1
Hogewoerd 21,2311 HC Leiden,1,0
Rapenburg 8,2311 EW Leiden,4,1
Herengracht 15,2312 LM Leiden,3,0
Breestraat 19,2311 CH Leiden,2,1
Molenstraat 5,2315 JK Leiden,1,0
Nieuwe Rijn 27,2312 JX Leiden,3,1
Hogewoerd 68,2311 HT Leiden,2,0
Langegracht 92,2312 VA Leiden,4,1
Rapenburg 72,2311 GJ Leiden,1,0
Zoeterwoudsesingel 36,2313 DW Leiden,3,1
Vrijheidslaan 65, 2321 JR Leiden,1,1
Kort Rapenburg 2,2311 GC Leiden,2,1